coins,market,below,above
POWR,USDT,0.0,0.85
ETH,BTC,0.06,0.09
PUNDIX,USDT,0.0,7.0
XLM,USDT,0.0,0.35
ZRX,USDT,0.0,1.5
WTC,USDT,0.0,1.5
VET,USDT,0.0,1.5
AVAX,BTC,0.0015,0.0025
OAX,BTC,0.0,1e-05
ADA,BTC,2e-05,6e-05
DOT,BTC,0.0004,0.0008
BNB,BTC,0.008,0.01
NEO,BTC,0.0,0.002
LTC,BTC,0.0,0.008
XMR,BTC,0.0,0.01
EOS,BTC,0.0,0.001
LSK,USDT,0.0,5.0
QTUM,USDT,0.0,19.0
PNT,USDT,0.0,2.8
ICX,USDT,0.0,3.0
XRP,USDT,0.0,1.7
IOTA,USDT,0.0,2.3
AAVE,USDT,0.0,640.0
LINK,USDT,0.0,50.0
MATIC,USDT,0.0,2.9
UNI,USDT,0.0,30.0
